GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
124673,CC295B3D-BC34-4D50-91C9-67E751721E67,"Journées du patrimoine 2015, conférence de D. Vaj, L'iconographie des récits de voyage en Suisse, dans le cadre de l'expo ""Regards sur la Suisse : voyage du XVIe au XXe siècle"" pour célébrer les 500 ans de l'alliance Mulhouse-Suisse",2015-09-19,"Bibliothèque centrale de Mulhouse, France",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",http://www.mulhouse.fr/fr/Actualites/2015-annee-de-la-suisse.html
124673,3C78101F-47C3-48E0-8931-80807C3E4B4F,"conférence de C. Reichler "" Les Alpes et leurs imagiers"" dans le cadre du programme culturel du Gymnase intercantonal de la Broye",2015-10-08,"Gymnase intercantonal de la Broye, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
124673,D7DC4209-DBB3-4ED2-931D-B7DB078E039C,Présentation du projet Viaticalpes et de la base de données Viatimages aux étudiant 3e année bachelor information documentaire,2013-04-17,"Genève, Switzerland",Other administration / public sector,Talk,http://www.unil.ch/viaticalpes/page54290.html#9
170004,450480C9-94BE-4787-90A5-C01E4C321F52,Dal conflitto al dialogo: il linguaggio nella mediazione,2020-11-19,"Brescia  - Università Cattolica del Sacro Cuore, Italy",Other administration / public sector,Talk,https://centridiricerca.unicatt.it/cluc-2020-dal-conflitto-al-dialogo-il-linguaggio-nella-mediazione
170004,5026178D-85E9-42F0-88CC-81588FB3772C,Emozioni nel conflitto e nella mediazione,2021-03-19,"Milan, Catholic University, Italy",Other administration / public sector,Workshop,https://offertaformativa.unicatt.it/master-corporate-advisory-e-risorse-interculturali-carint-32473
146316,A6CF878F-14A9-4129-8417-BCC3AC902C91,"Netzwerkveranstaltung Art Education ""HOPPLA. (Un)planbares kalkulieren: BG-Unterricht im Spannungsfeld zwischen Kalkul und Kontingenz.""",2016-06-06,"ZHdK, Zürich, Switzerland",Other administration / public sector,Self-organised,https://www.zhdk.ch/?vorlesungsverzeichnis&semester_id=140407&cc_page_id=-1455&course_id=158260
146316,172F6EE1-0B7A-46C6-AE18-8164E58D845A,Die Künste in der Bildung 2015: Künstlerische Prozesse als Erkenntnisprozesse?,2015-11-06,"Zürich, Switzerland",Other administration / public sector,Workshop,https://blog.zhdk.ch/kidb/archive/tagung-2015-3/
146316,5E88C2F6-7B61-4F9A-B9B3-FFCC8CB36CCF,Kalkül und Kontingenz. Rückblick auf ein teambasiertes Forschungsprojekt,2021-05-27,"Braunschweig, Germany",Other administration / public sector,Talk,nan
163051,9CEFA052-4788-4C41-A1E0-7DEB26E59EBE,Langres à la Renaissance,2018-05-19,"Langres, France",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
159335,8D535C74-D388-48E4-BFEC-C08090F92C05,KOFF Roundtable Reflections on ongoing peacemaking in South Sudan,2018-10-16,"Bern, Switzerland",Other administration / public sector,Talk,http://koff.swisspeace.ch/fileadmin/user_upload/koff/Bilder/Invitation_to_the_KOFF_Roundtable_South_Sudan_16_10_2018.pdf
